    Question,Answer
"How do I request a medical certificate?","Visit the Medical Clinic, fill out a request form, present your student ID and undergo a brief consultation. Certificates are issued free of charge during clinic hours—typically within the same day."  
"Is a medical certificate free?","Yes—medical certificates provided by DHVSU Health Services are free for enrolled students. :contentReference[oaicite:1]{index=1}"  
"How long does it take to get a medical certificate?","Processing takes about 1–2 hours, depending on clinic traffic, with same-day issuance if requested early."  
"When is the Medical Clinic open?","The Medical Clinic operates Monday–Friday, 8:00 AM to 4:00 PM. Walk-ins are accepted. :contentReference[oaicite:2]{index=2}"  
"When is the Dental Clinic open?","Dental services are available Monday–Friday, 8:00 AM to 4:00 PM. Referral or appointment may be required for extractions. :contentReference[oaicite:3]{index=3}"  
"Do I need to schedule an appointment?","Medical consultations are walk-in. For dental services, appointments are recommended due to limited slots."  
"What should I bring to a clinic visit?","Bring your validated student ID and complete the health intake form available at the entrance to the Medical or Dental Clinic."  
"What medical services are available?","Services include free consultations, physical exams, basic treatment, issuance of medical certificates, first aid, communicable disease prevention, and vaccine drives (e.g., influenza, typhoid). :contentReference[oaicite:4]{index=4}"  
"What dental services are offered?","Free dental exams, oral hygiene education, temporary fillings, extractions (with guardian consent), and basic prescriptions. :contentReference[oaicite:5]{index=5}"  
"Are medicines available?","Yes—essential medications like paracetamol, ibuprofen, antacids, and other resources are dispensed free, subject to availability. :contentReference[oaicite:6]{index=6}"  
"What preventive services are offered?","Campus-wide immunizations for flu, chickenpox, hepatitis, typhoid, MMR; water testing; health seminars; fitness checks. :contentReference[oaicite:7]{index=7}"  
"What is the emergency protocol on campus?","For emergencies, the clinic provides first aid and arranges transport to the nearest hospital. Follow-up care coordination is provided. :contentReference[oaicite:8]{index=8}"  
"Is follow-up care available?","Yes—the Clinic refers students for further evaluation/treatment and coordinates follow-up, including during hospitalization. :contentReference[oaicite:9]{index=9}"  
"Can I get a referral to a hospital?","Yes—the Clinic will issue a referral to a partner hospital for cases beyond its scope, then continues follow-up post-hospital treatment. :contentReference[oaicite:10]{index=10}"  
"Is first aid available during campus events?","Yes—the Health Services Unit assigns personnel for sports meets, fairs, and other official events. :contentReference[oaicite:11]{index=11}"  
"Where is the Health Services Unit located?","It's at the Medical & Dental Clinic in the Student Welfare & Formation Office, Student Affairs & Services Building, DHVSU Bacolor Main Campus."  
"How do I contact the Clinic?","Call (045) 649 8050 for general info or check Student Portal for clinic updates. Email info@dhvsu.edu.ph for inquiries. :contentReference[oaicite:12]{index=12}"  
"Are services available during breaks?","Limited services may run during semester breaks. Schedule changes are posted on the Student Portal and clinic notice boards."  
"Can students request health education seminars?","Yes—student orgs and faculty can request health seminars, screenings, or wellness programs through the Unit. :contentReference[oaicite:13]{index=13}"  
"Is there a Facebook page for Health Services?","Yes—search for 'DHVSU Medical and Dental Services' on Facebook for updates and announcements. :contentReference[oaicite:14]{index=14}"  
